code,trustId
W05000498,7A2
W05000499,7A2
W05000509,7A2
W05001002,7A2
W05001003,7A2
E05011234,NTP
E05011237,NTP
E05011244,NTP
E05011250,NTP
W05000125,7A1
W05000129,7A1
W05000169,7A1
W05000176,7A1
W05000177,7A1
W05000178,7A1
W05000046,7A1
W05000061,7A1
W05000070,7A1
W05000073,7A1
W05000094,7A1
W05000107,7A1
W05000111,7A1
W05000657,7A5
W05000680,7A5
W05000681,7A5
W05000711,7A5
W05000714,7A5
W05000716,7A5
W05001017,7A5
W05001020,7A5
E05000671,RW6
E05000673,RW6
E05000675,RW6
E05000682,RW6
E05000750,RW6
E05000751,RW6
E05000757,RW6
W05000250,7A1
W05000253,7A1
W05000257,7A1
W05000268,7A1
W05000269,7A1
W05000906,7A1
W05000908,7A1
E05012373,RCB
E05012379,RCB
E05012384,RCB
E05012385,RCB
E05012387,RCB
E05009229,REF
E05009230,REF
W05000664,7A5
W05000694,7A5
W05000698,7A5
W05000702,7A5
W05000706,7A5
E05005414,RWE
E05005426,RWE
E05005428,RWE
E05005445,RWE
E05010477,RWE
E05006550,RTH
E05006552,RTH
E05006558,RTH
E05006562,RTH
E05006564,RTH
E05009742,RTH
E05011704,RTH
E05000684,RW6
E05000767,RW6
E05011356,RW6
E05011366,RW6
E05011367,RW6
E05012462,NV3
E05012484,NV3
E05009188,REF
E05009189,REF
E05009112,RTF
E05009114,RTF
E05009115,RTF
E05009150,RTF
W05000363,7A2
W05000364,7A2
W05000372,7A2
W05000376,7A2
E05000367,R1H
E05000370,R1H
E05009304,R1H
E05005166,RXN
E05005168,RXN
E05005170,RXN
E05005172,RXN
E05005173,RXN
E05005174,RXN
E05005183,RXN
E05000759,NVC
E05000763,NVC
E05000764,NVC
E05000768,NVC
E05000770,NVC
E05000829,NVC
E05009108,RTF
E05009126,RTF
E05009137,RTF
E05009152,RTF
E05012552,RNN
E05012556,RNN
E05012559,RNN
E05012564,RNN
E05009672,RTR
E05009679,RTR
E05009681,RTR
E05009682,RTR
E05009684,RTR
E05010469,RWE
E05010472,RWE
E05010474,RWE
E05011981,RWE
